iter	Passed	Remaining
1615	122128	29020
1616	122208	28946
1617	122309	28876
1618	122413	28807
1619	122496	28733
1620	122583	28660
1621	122661	28585
1622	122732	28509
1623	122803	28432
1624	122868	28354
1625	122928	28274
1626	122989	28196
1627	123060	28119
1628	123127	28041
1629	123189	27963
1630	123252	27884
1631	123312	27805
1632	123374	27727
1633	123435	27648
1634	123497	27569
1635	123560	27491
1636	123612	27410
1637	123675	27332
1638	123736	27253
1639	123793	27174
1640	123853	27095
1641	123911	27016
1642	123973	26937
1643	124036	26859
1644	124098	26781
1645	124158	26702
1646	124224	26624
1647	124291	26547
1648	124352	26469
1649	124417	26391
1650	124478	26313
1651	124543	26235
1652	124607	26157
1653	124671	26079
1654	124730	26001
1655	124788	25922
1656	124846	25843
1657	124905	25764
1658	124963	25685
